id,date,year,source_database,origin,attack_vector,attack_description,country,industry_type,subcategory,attack_details,ti_safe_score,impact,link_at_the_internet
1316,22/07/2024,2024,TI Safe,External,Ransomware attack ,"Ransomware attack crippled Los Angeles County's court systems, forcing the closure of 36 courthouses and halting critical operations.",United States,Government,Public Administration,"The ransomware attack on July 19th, 2024, severely disrupted Los Angeles County's court operations. All 36 courthouses were closed, halting inmate transfers, evictions, and other critical services. Public access to court information was also hindered, and",4,"Major disruption of court services, including inmate transfers and evictions; raised public safety concerns.",<a href='https://hackread.com/ransomware-attack-la-county-courts-halt-inmate-transfer/' rel='' target='_self'>https://hackread.com/ransomware-attack-la-county-courts-halt-inmate-transfer/</a>
1315,19/07/2024,2024,TI Safe,External,Operation Failure ,Cyber blackout caused by a failure in CrowdStrike's Windows systems delays flights and disrupts banking and communication services globally.,Multiple countries (global impact),Tecnology services ,Multiple services,"The global cyber blackout was caused by a failure in Windows systems used by the digital security company CrowdStrike. The failure, which shows no signs of being a hacker attack, caused significant disruptions by delaying flights of major U.S. airlines, i",5,"Flight delays, interruption of banking, communication, and healthcare services in various countries. Widespread technical issues.",<a href='Apagão cibernético atrasa voos e prejudica serviços bancários e de comunicação ao redor do mundo | Mundo | G1 (globo.com)' rel='' target='_self'>Apagão cibernético atrasa voos e prejudica serviços bancários e de comunicação ao redor do mundo | Mundo | G1 (globo.com)</a>
1314,10/06/2024,2024,TI Safe,External,Theft or theft of confidential data,"Hacker leaked sensitive data of over 8,000 students from VIT Bhopal University in India, including IDs, names, emails, and passwords.",India ,Education ,Education and Research,null,2,"Leak of sensitive data, risk of phishing, and unauthorized access to student accounts and university resources.",<a href='Violação de dados do VIT Bhopal: 8.000+ alunos podem ser afetados (thecyberexpress.com)' rel='' target='_self'>Violação de dados do VIT Bhopal: 8.000+ alunos podem ser afetados (thecyberexpress.com)</a>
1313,10/06/2024,2024,TI Safe,External,Phishing attack,"Sticky Werewolf, a threat group, used phishing with LNK files to target the aviation industry in Russia and Belarus, aiming for espionage and data exfiltration.",Russia ,Transport sector and systems,Aviation,"On June 10, 2024, Morphisec researchers observed the threat group Sticky Werewolf, first detected in April 2023, targeting entities in Russia and Belarus, including the aviation industry. The group used phishing with LNK files disguised in password-protec",3,"Extensive espionage and data exfiltration using RATs and stealers, affecting aviation and defense companies.",<a href='Sticky Werewolf tem como alvo a indústria da aviação na Rússia e Bielorrússia (securityaffairs.com)' rel='' target='_self'>Sticky Werewolf tem como alvo a indústria da aviação na Rússia e Bielorrússia (securityaffairs.com)</a>
1312,10/06/2024,2024,TI Safe,External,Theft or theft of confidential data,"Hacker leaked 270GB of New York Times source code, including internal communications and user data, after accessing an exposed credential.",United States,Media,Jornalism ,"On June 10, 2024, an anonymous threat actor posted 270GB of New York Times source code on an imageboard website. The leak included approximately five thousand repositories, 3.6 million files, internal Slack communications, private user keys, and software ",3,"Leak of source code, internal communications, user keys, and data of 1500 users, including names, emails, and hashed passwords",<a href='Agente de ameaça afirma vazar 270 GB de dados do New York Times - Infosecurity Magazine (infosecurity-magazine.com)' rel='' target='_self'>Agente de ameaça afirma vazar 270 GB de dados do New York Times - Infosecurity Magazine (infosecurity-magazine.com)</a>
1311,09/06/2024,2024,TI Safe,External,Theft or theft of confidential data,"Hackers breached a Disney server, stealing 2.5 GB of data, including internal corporate information, advertising plans, and Disney+ data.",United States ,Entertainment,Disney ,"On June 9, 2024, The Walt Disney Company suffered a major cyberattack, where hackers breached a Disney Confluence server, stealing 2.5 GB of data. Initially, it was believed that the stolen data was only old user data from the Club Penguin game, but it wa",3,"Theft of internal corporate data, including future project information, developer tools, and potential customer data from Disney+.",<a href='Disney Hacked! Major Data Breach at the Walt Disney Company - Inside the Magic' rel='' target='_self'>Disney Hacked! Major Data Breach at the Walt Disney Company - Inside the Magic</a>
1310,08/06/2024,2024,TI Safe,External,DDoS,"Hacktivists launched DDoS attacks on European political parties during the EU parliamentary elections, aiming to disrupt their websites.",Netherlands,Government Facilities,Politic Services,null,2,"Interrupção de sites relacionados às eleições e partidos políticos, exigindo mitigação por serviços de proteção contra DDoS.",<a href='https://www.bleepingcomputer.com/news/security/ddos-attacks-target-eu-political-parties-as-elections-begin/' rel='' target='_self'>https://www.bleepingcomputer.com/news/security/ddos-attacks-target-eu-political-parties-as-elections-begin/</a>
1309,07/06/2024,2024,TI Safe,External,Theft or theft of confidential data,"Hacker ""Pills"" leaked data of 600,000 migrant workers in Tamil Nadu, India, and is selling the complete database on BreachForums.",India,Government Facilities,Public Services,"On June 7, 2024, a massive data breach was reported in the Indian state of Tamil Nadu, where data of over 600,000 migrant workers was allegedly leaked on the dark web. The hacker, identified as ""Pills,"" claimed to have leaked and is selling the complete d",3,"Leak of sensitive personal data of 600,000 migrant workers, exposing information such as name, phone number, date of birth, and bank details.",<a href='https://thecyberexpress.com/tamil-nadu-migrant-workers-data-leaked-india/' rel='' target='_self'>https://thecyberexpress.com/tamil-nadu-migrant-workers-data-leaked-india/</a>
1308,07/06/2024,2024,TI Safe,External,Malware attack ,"GlorySec launched worm-type malware on companies in Guyana City, Venezuela, infiltrating over 100 systems and testing their capabilities.",Venezuela,Business,Business,"On June 7, 2024, the hacker group GlorySec revealed their latest cyber operation targeting companies in Guyana City, Venezuela. Using worm-type malware deployed via USB sticks, the group infiltrated the systems of over 100 companies, gaining full control ",3,"Infiltration of over 100 companies' systems, full access to PCs, and potential to destabilize Nicolás Maduro's regime.",<a href='https://dailydarkweb.net/glorysec-launches-malware-attack-in-venezuela-and-hints-at-future-operations-in-russia/' rel='' target='_self'>https://dailydarkweb.net/glorysec-launches-malware-attack-in-venezuela-and-hints-at-future-operations-in-russia/</a>
1307,06/06/2024,2024,TI Safe,External,Operation Failure ,"Hackers attacked UnitedHealth's technology unit, leaving community health centers struggling with red tape and operational issues.",United States,Healthcare and Public Health,Health Services ,"On June 6, 2024, more than three months after a cyberattack on UnitedHealth Group’s technology unit, community health centers serving 30 million low-income and uninsured patients are still dealing with red tape to receive back payments and struggling with",3,Community health centers face payment delays and operational difficulties three months after the attack.,<a href='https://www.teiss.co.uk/news/community-health-centers-still-bogged-down-by-red-tape-after-unitedhealth-hack-14158' rel='' target='_self'>https://www.teiss.co.uk/news/community-health-centers-still-bogged-down-by-red-tape-after-unitedhealth-hack-14158</a>
1306,06/06/2024,2024,TI Safe,External,Ransomware attack ,"Daixin Team claims ransomware attack, stealing 60-80GB of sensitive data from Dubai government, exposing personal information of millions of residents.",United Arab Emirates (Dubai),Government Facilities,Public Services,"On June 6, 2024, the ransomware group Daixin Team claimed to have attacked the government of Dubai, exfiltrating between 60 and 80 GB of data, including ID cards, passports, and other personal information. The government of Dubai, one of the richest and m",3,"Exfiltration of personal data, including ID cards, passports, and information of wealthy residents, exposing them to identity theft and phishing risks.",<a href='https://cybernews.com/news/dubai-government-ransomware-attack-daixin/' rel='' target='_self'>https://cybernews.com/news/dubai-government-ransomware-attack-daixin/</a>
1305,06/06/2024,2024,TI Safe,External,Operation Failure ,"Hacker blocked IT systems of hospitals in Garbagnate, Rho, and Bollate, forcing the use of paper for essential services.",Italy,Hospital and health sector,Hospital Systems ,"On June 6, 2024, a hacker attack hit Asst Rhodense, affecting the IT systems of hospitals in Garbagnate, Rho, and Bollate in Lombardy, Italy. The attack blocked the systems, forcing the use of manual methods to ensure essential emergency services. Urgent ",3,"IT systems blocked, scheduled surgeries suspended, ambulances redirected, and manual operation in emergency mode.",<a href='https://www.ruetir.com/2024/06/06/hacker-attack-on-asst-rhodense-hospital-systems-in-garbagnate-rho-and-bollate-blocked/' rel='' target='_self'>https://www.ruetir.com/2024/06/06/hacker-attack-on-asst-rhodense-hospital-systems-in-garbagnate-rho-and-bollate-blocked/</a>
1304,06/06/2024,2024,TI Safe,External,Violation of laws and regulations,"Russian group NoName057(16) announced an attack on European internet infrastructure during elections, citing retaliation against anti-Russian sanctions.",European Union,Tecnology services ,Information Technology,"On June 6, 2024, the Russian hacker group NoName057(16) announced plans to launch a cyberattack on European internet infrastructure during the European Parliament elections. The group accused the European Parliament of being a ""pseudo-democratic and Russo",3,"Potential disruption of European internet infrastructure during parliamentary elections, involving multiple hacker groups.",<a href='https://dailydarkweb.net/russian-hacker-group-noname057-announces-cyberattack-on-european-internet-infrastructure/' rel='' target='_self'>https://dailydarkweb.net/russian-hacker-group-noname057-announces-cyberattack-on-european-internet-infrastructure/</a>
1303,05/06/2024,2024,TI Safe,External,Theft or theft of confidential data,Chinese hackers stole sensitive intel on the South China Sea from a Southeast Asian government using advanced malware.,Southeast Asian country (unspecified),Government Facilities,Governmental ,"Chinese hackers spent nearly two years targeting a high-level Southeast Asian government department to obtain information about the country's strategy regarding the disputed South China Sea. Three hacker groups, including APT15 and APT41, used advanced ma",4,"Theft of sensitive political, economic, and military information, compromising national security.",<a href='https://therecord.media/chinese-hacking-groups-stole-from-se-asia' rel='' target='_self'>https://therecord.media/chinese-hacking-groups-stole-from-se-asia</a>
1302,05/06/2024,2024,TI Safe,External,Theft or theft of confidential data,"Hacker breached Telangana Police's TSCOP app, leaking personal data of officers, criminals, and gun license holders.",India,Government Facilities,Police,"On June 5, 2024, a hacker known as ""Adm1nFr1end"" claimed to have conducted a cyberattack on the TSCOP app of Telangana Police, India. The attack exposed personal information of police officers, including names, phone numbers, emails, and designations from",4,"Exposure of sensitive personal data of police, criminals, and citizens, compromising security and privacy.",<a href='https://thecyberexpress.com/tscop-app-cyberattack-telangana-police/#google_vignette' rel='' target='_self'>https://thecyberexpress.com/tscop-app-cyberattack-telangana-police/#google_vignette</a>
1301,05/06/2024,2024,TI Safe,External,DDoS ,"Massive DDoS attack by Ukraine disrupts essential services in Russia, affecting banks, civil records, and social networks.",Russia,Tecnology services ,Companies and Governmental ,"On June 5, 2024, Ukraine launched a large-scale DDoS attack against various Russian institutions, disrupting essential services. Specialists from Ukraine's Defence Intelligence (DIU) were responsible for the attack that affected electronic services of min",3,"Significant disruption of electronic services for ministries, banks, VKontakte social network, and the civil registration system.",<a href='https://cybernews.com/cyber-war/ukraine-russia-ddos-attack/' rel='' target='_self'>https://cybernews.com/cyber-war/ukraine-russia-ddos-attack/</a>
1300,04/06/2024,2024,TI Safe,External,Ransomware attack ,"Ransomware attack hits Vietnam Post, directly impacting postal and delivery services operations.",Vietnam ,Postal and Delivery Services Sector,Services,null,2,"Direct disruption of Vietnam Post's postal and delivery services operations, with potential financial and operational damages.",<a href='https://en.vietnamplus.vn/ransomware-attack-hits-vietnam-post-post288028.vnp' rel='' target='_self'>https://en.vietnamplus.vn/ransomware-attack-hits-vietnam-post-post288028.vnp</a>
1299,04/06/2024,2024,TI Safe,External,Malware attack ,"Russian power companies, IT firms, and government agencies targeted by Decoy Dog malware delivered via Windows.",Russia ,Tecnology services ,Companies and Governmental ,null,2,"Compromise of security and operations of affected organizations, with potential for financial and operational damages.",<a href='https://thehackernews.com/2024/06/russian-power-companies-it-firms-and.html' rel='' target='_self'>https://thehackernews.com/2024/06/russian-power-companies-it-firms-and.html</a>
1298,04/06/2024,2024,TI Safe,External,Operation Failure ,"State hackers accessed 22 email inboxes of British Columbia government employees, potentially compromising personal information.",Canada,Government Facilities,Public Sector ,"Sophisticated cyberattack on British Columbia government networks by state hackers, compromising employees' personal information.",3,"Compromise of employees' personal information, with no evidence of misuse so far.",<a href='https://thecyberexpress.com/british-columbia-government-cyberattack/' rel='' target='_self'>https://thecyberexpress.com/british-columbia-government-cyberattack/</a>
1297,04/06/2024,2024,TI Safe,External,Ransomware attack ,"Northern Minerals was targeted by Bian Lian ransomware, stealing over 1 TB of data, including sensitive operational and personal information.",Australia ,Steel and mining,Metals Mining,"Northern Minerals, an Australian rare-earth metals producer, was targeted by the Bian Lian ransomware, which exfiltrated over 1 TB of data. Operational, financial, and personal information was compromised. The company is working with authorities and exper",3,"Exfiltration of corporate, financial, operational, and personal data, with potential impact on the security and privacy of employees and shareholders.




",<a href='https://www.cyberdaily.au/security/10662-exclusive-aussie-rare-earth-metals-producer-northern-minerals-confirms-ransomware-attack' rel='' target='_self'>https://www.cyberdaily.au/security/10662-exclusive-aussie-rare-earth-metals-producer-northern-minerals-confirms-ransomware-attack</a>
1296,04/06/2024,2024,TI Safe,External,Operation Failure ," Cyberattack hits London hospitals connected to Synnovis, a pathology services company. Affected system prevents access to test results and forces cancellation of surgeries.",United Kingdom,Healthcare and Public Health,Hospital Systems ,"A cyberattack has struck London hospitals connected to Synnovis, a pathology services provider. The incident affected the system's access to test results, forcing the rescheduling of surgeries and raising concerns about impacts on emergency care.

The att",4,"The attack, suspected to be ransomware, is disrupting renowned hospitals like King's College Hospital, Guy's and St Thomas' (including the Royal Brompton and the Evelina London Children's Hospital).",<a href='https://www.bbc.com/news/articles/c288n8rkpvno' rel='' target='_self'>https://www.bbc.com/news/articles/c288n8rkpvno</a>
1295,03/06/2024,2024,TI Safe,External,Data security breach,"University of Hyderabad suffers data leak containing student and staff information. Attacker (""nik20"") posted data on BreachForums.",India ,Education ,University ,null,2,"The leak exposed personal data of students, professors, and staff at the University of Hyderabad, including user IDs, logins, emails, profile URLs (possible), and account statuses","<a href='The leak exposed personal data of students, professors, and staff at the University of Hyderabad, including user IDs, logins, emails, profile URLs (possible), and account statuses.' rel='' target='_self'>The leak exposed personal data of students, professors, and staff at the University of Hyderabad, including user IDs, logins, emails, profile URLs (possible), and account statuses.</a>"
1294,03/06/2024,2024,TI Safe,External,Unauthorized access,"Hacker accessed confidential consumer information from ALN Medical Management, now part of Health Prime International, in a data security incident.",United States,Hospital and health sector,Hospital Systems ,"On May 23, 2024, ALN Medical Management, part of Health Prime International, reported a data breach incident to the U.S. Department of Health and Human Services. A hacker gained access to confidential consumer information through a ""hacking/IT incident"" o",3,"The breach resulted in unauthorized access to confidential consumer information, raising concerns about fraud and identity theft.",<a href='https://www.jdsupra.com/legalnews/aln-medical-management-files-notice-of-9445083/' rel='' target='_self'>https://www.jdsupra.com/legalnews/aln-medical-management-files-notice-of-9445083/</a>
1293,03/06/2024,2024,TI Safe,External,Ransomware attack ,"Ransomware gang RansomHub attacks Frontier Communications, claiming access to sensitive data of over 2 million people.",United States,Communication and telecommunications sector,Telecommunitacion ,"In April 2024, Frontier Communications, a major telecommunications company, was targeted by the ransomware gang RansomHub. The group claimed to have spent over two months attempting to extort the company without success. In a report to the SEC, Frontier r",3,The attack caused significant operational disruption and involved the theft of personally identifiable information.,<a href='https://therecord.media/frontier-communications-cyberattack-ransomhub' rel='' target='_self'>https://therecord.media/frontier-communications-cyberattack-ransomhub</a>
